"filename", "language", "XML", "C#", "C++", "HTML", "ASP.NET Razor", "JSON", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllTickets\GetAllTicketsQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllTickets\GetAllTicketsQueryHandler.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllUsers\GetAllUsersQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllUsers\GetAllUsersQueryHandler.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetHallByNumber\GetHallByNumberQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetHallByNumber\GetHallByNumberQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieByEncodedTitle\GetMovieByEncodedTitleQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieByEncodedTitle\GetMovieByEncodedTitleQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieById\GetMovieByIdQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieById\GetMovieByIdQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieRatings\GetMovieRatingsQuery.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieRatings\GetMovieRatingsQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieShowByEncodedTitle\GetMovieShowByEncodedTitleQuery.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieShowByEncodedTitle\GetMovieShowByEncodedTitleQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieShow\GetMovieShowQuery.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetMovieShow\GetMovieShowQueryHandler.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetPdfFromTicket\GetPdfQuery.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetPdfFromTicket\GetPdfQueryHandler.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetRepertoire\GetRepertoireQuery.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetRepertoire\GetRepertoireQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
